pocket.1,pocket.2,similarity_value
1_SARS-Nsp-3,1_MERS-Nsp-3,0.82952
9_SARS-Nsp-5 (Mpro),1_MERS-Nucleocapsid,0.808246
7_SARS-Nsp-5 (Mpro),1_MERS-Nucleocapsid,0.849297
7_SARS-Nsp-3 (Papain like),1_MERS-Nucleocapsid,0.822495
7_SARS-Nsp-3,1_MERS-Nucleocapsid,0.800328
6_SARS-Nsp-5 (Mpro),1_MERS-Nucleocapsid,0.861443
6_SARS-Nsp-3 (Papain like),1_MERS-Nucleocapsid,0.810078
5_SARS-Nsp-16,1_MERS-Nucleocapsid,0.815117
4_SARS-Nsp-5 (Mpro),1_MERS-Nucleocapsid,0.826567
4_SARS-Nsp-3 (Papain like),1_MERS-Nucleocapsid,0.812134
4_SARS-Nsp-16,1_MERS-Nucleocapsid,0.849265
3_SARS-Spike S1 RBD,1_MERS-Nucleocapsid,0.835221
3_SARS-Nsp-3 (Papain like),1_MERS-Nucleocapsid,0.822363
2_SARS-Spike S1 RBD,1_MERS-Nucleocapsid,0.819521
2_SARS-Nsp-3 (Papain like),1_MERS-Nucleocapsid,0.81376
2_SARS-Nsp-16,1_MERS-Nucleocapsid,0.825157
1_SARS-Spike S1 RBD,1_MERS-Nucleocapsid,0.803636
1_SARS-Nsp-8,1_MERS-Nucleocapsid,0.835964
1_SARS-Nsp-5 (Mpro),1_MERS-Nucleocapsid,0.813367
1_MERS-Spike S2 HR,1_MERS-Nucleocapsid,0.813717
9_SARS2-Spike TRIMER open,1_MERS-Spike RBD,0.820651
9_SARS-Nsp-5 (Mpro),1_MERS-Spike RBD,0.823278
9_SARS-Nsp-3 (Papain like),1_MERS-Spike RBD,0.815729
8_SARS2-Spike TRIMER open,1_MERS-Spike RBD,0.819515
8_SARS2-Spike TRIMER closed,1_MERS-Spike RBD,0.809911
7_SARS2-Nsp-13 (Helicase),1_MERS-Spike RBD,0.814727
7_SARS-Spike S1 RBD,1_MERS-Spike RBD,0.821705
7_SARS-Nsp-5 (Mpro),1_MERS-Spike RBD,0.809177
7_SARS-Nsp-3 (Papain like),1_MERS-Spike RBD,0.805186
7_SARS-Nsp-3,1_MERS-Spike RBD,0.820153
6_SARS2-Nsp-16,1_MERS-Spike RBD,0.833223
6_SARS2-Nsp-13 (Helicase),1_MERS-Spike RBD,0.825876
6_SARS2-Nsp-12,1_MERS-Spike RBD,0.825538
