pocket_inchi,pocket_filename,protein_filename,representative,representative_name,protein_name,domain,organism,protein_code,chain_code,ligand_code,ligand_occupancy,int.protein_code,int.chain_code,int.protein_name,int.domain,int.organism
7rqg1A_004_______________,Pocket_004_7rqg1_1_A.pdb,7rqg1_1_A.pdb, yes,7_SARS2-Nsp-3,Nsp-3,cd21717,Severe acute respiratory syndrome coronavirus 2,7RQG,A, , , , , , , 
7rqg1A_003_______________,Pocket_003_7rqg1_1_A.pdb,7rqg1_1_A.pdb, yes,6_SARS2-Nsp-3,Nsp-3,cd21717,Severe acute respiratory syndrome coronavirus 2,7RQG,A, , , , , , , 
7rqg1A_002_______________,Pocket_002_7rqg1_1_A.pdb,7rqg1_1_A.pdb, yes,5_SARS2-Nsp-3,Nsp-3,cd21717,Severe acute respiratory syndrome coronavirus 2,7RQG,A, , , , , , , 
7rqg1A_001_______________,Pocket_001_7rqg1_1_A.pdb,7rqg1_1_A.pdb, yes,4_SARS2-Nsp-3,Nsp-3,cd21717,Severe acute respiratory syndrome coronavirus 2,7RQG,A, , , , , , , 
7ofs1A_005_______________,Pocket_005_7ofs1_1_A.pdb,7ofs1_1_A.pdb, yes,5_SARS2-Nsp-3 (Papain-like protease),Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7OFS,A, , , , , , , 
7ofs1A_004_______________,Pocket_004_7ofs1_1_A.pdb,7ofs1_1_A.pdb, yes,4_SARS2-Nsp-3 (Papain-like protease),Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7OFS,A, , , , , , , 
7ofs1A_003_______________,Pocket_003_7ofs1_1_A.pdb,7ofs1_1_A.pdb, yes,3_SARS2-Nsp-3 (Papain-like protease),Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7OFS,A, , , , , , , 
7ofs1A_002_______________,Pocket_002_7ofs1_1_A.pdb,7ofs1_1_A.pdb, yes,2_SARS2-Nsp-3 (Papain-like protease),Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7OFS,A, , , , , , , 
7ofs1A_001_______________,Pocket_001_7ofs1_1_A.pdb,7ofs1_1_A.pdb, yes,1_SARS2-Nsp-3 (Papain-like protease),Nsp-3 (Papain-like protease),"cd21466,cd21732",Severe acute respiratory syndrome coronavirus 2,7OFS,A,YRL,0.9, , , , , 
7nio1E_004_______________,Pocket_004_7nio1_1_E.pdb,7nio1_1_E.pdb, yes,10_SARS2-Nsp-13 (Helicase),Nsp-13 (Helicase),"cd21401,cd21689,cd21409,cd21722,cd17934,cd18808",Severe acute respiratory syndrome coronavirus 2,7NIO,E, , , , , , , 
7nio1E_003_______________,Pocket_003_7nio1_1_E.pdb,7nio1_1_E.pdb, yes,9_SARS2-Nsp-13 (Helicase),Nsp-13 (Helicase),"cd21401,cd21689,cd21409,cd21722,cd17934,cd18808",Severe acute respiratory syndrome coronavirus 2,7NIO,E, , , , , , , 
7nio1E_001_______________,Pocket_001_7nio1_1_E.pdb,7nio1_1_E.pdb, yes,8_SARS2-Nsp-13 (Helicase),Nsp-13 (Helicase),"cd21401,cd21689,cd21409,cd21722,cd17934,cd18808",Severe acute respiratory syndrome coronavirus 2,7NIO,E, , , , , , , 
7n3c1C_002_______________,Pocket_002_7n3c1_1_C.pdb,7n3c1_1_C.pdb, yes,3_SARS2-Nucleocapsid,Nucleocapsid,cd21554,Severe acute respiratory syndrome coronavirus 2,7N3C,C, , , , , , , 
7n3c1C_001_______________,Pocket_001_7n3c1_1_C.pdb,7n3c1_1_C.pdb, yes,2_SARS2-Nucleocapsid,Nucleocapsid,cd21554,Severe acute respiratory syndrome coronavirus 2,7N3C,C, , , , , , , 
7mc51A_005_______________,Pocket_005_7mc51_1_A.pdb,7mc51_1_A.pdb, yes,5_SARS2-Nsp-14 (Proofreading exoribonuclease),Nsp-14 (Proofreading exoribonuclease),cd21659,Severe acute respiratory syndrome coronavirus 2,7MC5,A, , ,7mc5,M,Nsp-10,cd21901,Severe acute respiratory syndrome coronavirus 2
7mc51A_004_______________,Pocket_004_7mc51_1_A.pdb,7mc51_1_A.pdb, yes,4_SARS2-Nsp-14 (Proofreading exoribonuclease),Nsp-14 (Proofreading exoribonuclease),cd21659,Severe acute respiratory syndrome coronavirus 2,7MC5,A, , , , , , , 
7mc51A_003_______________,Pocket_003_7mc51_1_A.pdb,7mc51_1_A.pdb, yes,3_SARS2-Nsp-14 (Proofreading exoribonuclease),Nsp-14 (Proofreading exoribonuclease),cd21659,Severe acute respiratory syndrome coronavirus 2,7MC5,A, , , , , , , 
7mc51A_002_______________,Pocket_002_7mc51_1_A.pdb,7mc51_1_A.pdb, yes,2_SARS2-Nsp-14 (Proofreading exoribonuclease),Nsp-14 (Proofreading exoribonuclease),cd21659,Severe acute respiratory syndrome coronavirus 2,7MC5,A, , , , , , , 
